category,rank,title,series,series_orig,years,years_orig,votes
chara,76,セシル（暗黒騎士）,ff4,ファイナルファンタジーIV,1991,〈1991年〉,
chara,77,リディア（子供）,ff4,ファイナルファンタジーIV,1991,〈1991年〉,
chara,78,ルーファウス神羅,ff7,ファイナルファンタジーVII,1997,〈1997年〉,
chara,79,アーシェ,ff12,ファイナルファンタジーXII,2006,〈2006年〉,
chara,79,ゼル,ff8,ファイナルファンタジーVIII,1999,〈1999年〉,
chara,81,ノエル・クライス,ff99,ファイナルファンタジーXIII-2,2011,〈2011年〉,
chara,82,サイファー,ff8,ファイナルファンタジーVIII,1999,〈1999年〉,
chara,83,ポロム,ff4,ファイナルファンタジーIV,1991,〈1991年〉,
chara,84,パロム,ff4,ファイナルファンタジーIV,1991,〈1991年〉,
chara,85,アイメリク・ド・ボーレル,ff14,ファイナルファンタジーXIV,2010,〈2010年～〉,
chara,86,セラ・ファロン,ff13,ファイナルファンタジーXIII,2009,〈2009年〉,
chara,87,キマリ,ff10,ファイナルファンタジーX,2001,〈2001年〉,
chara,88,フリオニール,ff2,ファイナルファンタジーII,1988,〈1988年〉,
chara,89,キスティス,ff8,ファイナルファンタジーVIII,1999,〈1999年〉,
chara,90,ケット・シー,ff7,ファイナルファンタジーVII,1997,〈1997年〉,
chara,91,グラディオラス・アミシティア,ff15,ファイナルファンタジーXV,2016,〈2016年〉,
chara,92,ヨツユ・ゴー・ブルトゥス,ff14,ファイナルファンタジーXIV,2010,〈2010年～〉,
chara,93,主人公（ウォル）,ff99,メビウス ファイナルファンタジー,2015,〈2015年～〉,
chara,94,ゼノス・イェー・ガルヴァス,ff14,ファイナルファンタジーXIV,2010,〈2010年～〉,
chara,95,フレイ・ミスト,ff14,ファイナルファンタジーXIV,2010,〈2010年～〉,
chara,96,クイナ,ff9,ファイナルファンタジーIX,2000,〈2000年〉,
chara,97,光の戦士（Warriors of Light）,ff1,ファイナルファンタジー,1987,〈1987年〉,
chara,98,ヒルディブランド・ヘリドール・マクシミリアン・マンダヴィル,ff14,ファイナルファンタジーXIV,2010,〈2010年～〉,
chara,99,ヲルバ＝ダイア・ヴァニラ,ff13,ファイナルファンタジーXIII,2009,〈2009年〉,
chara,100,ジェネシス,ff99,クライシスコア -ファイナルファンタジーVII-,2007,〈2007年〉,
chara,101,バッシュ,ff12,ファイナルファンタジーXII,2006,〈2006年〉,
chara,101,サンクレッド・ウォータース,ff14,ファイナルファンタジーXIV,2010,〈2010年～〉,
